zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
31999,Financial Services,12003.0,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, income support, GIFT, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products in Japan. The Aflac U.S. segment provides cancer, accident, short-term disability, critical care, hospital indemnity, dental, vision, long-term care and disability, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is headquartered in Columbus, Georgia.",Columbus,706-323-3431,GA,United States,[],http://www.aflac.com,1,1932 Wynnton Road,Insurance—Life,53.73,54.29,46.23837,0.021775544,0.1508,,54.915,,3116800,,53.73,52.128822,1.17,54.29,,3116800,,,,1.32,1621296000,0.990071,,,53.84,2,USD,7.0068116,3071000,,,,37112147968,,,3605048,1.6238797,53.84,54.61,,800,3071000,54.915,10.669275,,2.31,30.32,54.6,False,0.024600001,1300,54.915,NYQ,AFLAC Incorporated,Aflac Incorporated,America/New_York,EDT,False,-14400000,EQUITY,AFL,finmb_250178,us_market,,1.76,,0.24088,7.543,0.4958241,,5.11,,680707008,,,47.161,10749943,0.0156,,1609372800,0.62630004,5504999936,7.781,0.33,0.457646,1.15604,0.090129994,1672444800,1617148800,3.3,1615766400,674726053,40217522176,,1521417600,2:1,,1613433600,,1.284,1618444800,1.69,,0.015800001,11750146,,,,54.29,https://logo.clearbit.com/aflac.com,,,,,,
95051,Healthcare,16400.0,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],http://www.agilent.com,1,5301 Stevens Creek Boulevard,Diagnostics & Research,133.64,134.29,120.52355,0.005492368,0.2823,,134.3099,,1658860,,133.64,129.36353,0.734,134.29,,1658860,,,,0.78,1617580800,1.012686,,,132.61,2,USD,51.286102,994227,,,,40582725632,,,1696090,7.338649,132.61,133.09,,800,994227,137.83,30.548164,,0.83,74.83,133.28,False,0.0058,900,134.3099,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EDT,False,-14400000,EQUITY,A,finmb_154924,us_market,,7.607,,0.14647001,28.891,0.7499018,,4.36,,304697984,,,15.756,2294902,0.0075,,1604102400,0.91144997,810000000,2.597,0.194,0.457646,8.453288,0.00283,1667174400,1612051200,1.56,1615766400,303731624,42065776640,,1414972800,1398:1000,,1617580800,,0.462,1618444800,2.91,,0.0076,2908967,,,,134.29,https://logo.clearbit.com/agilent.com,,866 497 1134,,,,
18195-1501,Basic Materials,19000.0,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. The company produces atmospheric gases, including oxygen, nitrogen, argon, and rare gases; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas, and specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, gasification, metals, manufacturing, food and beverage, electronics, magnetic resonance imaging, energy production and refining, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. Air Products and Chemicals, Inc. was founded in 1940 and is headquartered in Allentown, Pennsylvania.",Allentown,610-481-4911,PA,United States,[],http://www.airproducts.com,1,7201 Hamilton Boulevard,Chemicals,288.48,289.67,276.58762,0.018580144,0.6284,,291.8283,,670220,,288.48,283.15707,5.36,289.67,,670220,,,,6,1617148800,0.804743,,,288.53,2,USD,34.09187,782263,,,,64212369408,,,1105503,7.153147,288.53,0.0,,800,782263,327.89,27.876081,,2.26,219.52,0.0,False,0.0208,800,291.8283,NYQ,"Air Products and Chemicals, Inc","Air Products and Chemicals, Inc.",America/New_York,EDT,False,-14400000,EQUITY,APD,finmb_248356,us_market,,7.359,,0.21089001,19.11,0.2861346,,10.41,,221276992,,,57.32,2802787,0.0127,,1601424000,0.85894996,1897100032,8.512,1.5,0.457646,5.062631,0.00281,1664496000,1609372800,2.87,1615766400,220436038,66056056832,,1475452800,1081:1000,,1617148800,,0.013,1618444800,3.56,,0.0127,1650350,,,,289.67,https://logo.clearbit.com/airproducts.com,,610-481-5900,,,,
02142,Technology,8368.0,"Akamai Technologies, Inc. provides cloud services for securing, delivering, and optimizing content and business applications over the internet in the United States and internationally. The company offers cloud and enterprise security solutions to keep infrastructure, websites, applications, application programming interfaces, and users safe from various cyberattacks and online threats while enhancing performance. It also provides web and mobile performance solutions to enable dynamic websites and applications; media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics; and edge compute solutions to enable developers to deploy and distribute code at the edge. In addition, the company offers carrier offerings, including cyberthreat protection, parental controls, DNS infrastructure and content delivery solutions; and an array of service and support to assist customers with integrating, configuring, optimizing, and managing its offerings. It sells its solutions through direct sales and service organizations, as well as through various channel partners. Akamai Technologies, Inc. has a strategic partnership with Queue-It to deliver a cure for Covid vaccine registration. The company was founded in 1998 and is headquartered in Cambridge, Massachusetts.",Cambridge,617-444-3000,MA,United States,[],http://www.akamai.com,1,145 Broadway,Software—Infrastructure,108.7,108.98,104.41563,,0.0,,108.98,,1467500,,108.7,98.52,,108.98,,1467500,,,,,,0.410921,,,106.13,2,USD,31.756676,1678459,,,,17472299008,,,2229070,5.4632535,106.13,0.0,,2200,1678459,124.91,18.169779,,,92.64,0.0,False,,800,108.98,NMS,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",America/New_York,EDT,True,-14400000,EQUITY,AKAM,finmb_24522,us_market,,6.073,,0.17417999,19.015,,,5.89,,163262000,,,26.128,8039964,0.049200002,,1609372800,0.92623,557054016,3.37,,,4.0959888,0.015800001,1672444800,1609372800,5.33,1615766400,160528768,19420882944,,,,,,,-0.048,1618444800,1.51,,0.056199998,7999481,,,,108.98,https://logo.clearbit.com/akamai.com,,617-444-3001,,,,349ac0eb-b982-3d38-abe9-be5d74e7cfe5
98188,Industrials,17140.0,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon. It flies to approximately 115 destinations throughout the United States and North America. The company was founded in 1932 and is based in Seattle, Washington.",Seattle,206 392 5040,WA,United States,[],http://www.alaskaair.com,1,19300 International Boulevard,Airlines,69.14,69.46,51.488964,0,0.0,,69.77,,1268700,,69.14,66.66576,0,69.46,,1268700,,,,,1581638400,1.857142,,,68.05,2,USD,,1163853,,,,8547921408,,,1897853,3.1345513,68.05,0.0,,2200,1163853,73.75,14.133745,,,23.39,0.0,False,,1000,69.77,NYQ,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ALK,finmb_248501,us_market,,3.733,,-0.44848,-5.925,,,4.86,,124442000,,,23.103,2212326,0.0178,,1609372800,0.80636,-1223000064,-9.877,,,2.973207,0.00418,1672444800,1617148800,1.27,1615766400,123910633,10179919872,,1404950400,2:1,,,,,1618444800,1.2,,0.0199,2657095,,,,69.46,https://logo.clearbit.com/alaskaair.com,,,,,,3b198114-06cb-3b50-b1bb-fdb850bdcafa
28209,Basic Materials,5900.0,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Lithium, Bromine Specialties, and Catalysts. The Lithium segment offers lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and lithium specialties; and reagents, such as butyllithium and lithium aluminum hydride for use in lithium batteries for consumer electronics and electric vehicles, high performance greases, thermoplastic elastomers for car tires, rubber soles, plastic bottles, catalysts for chemical reactions, organic synthesis processes in the areas of steroid chemistry and vitamins, life sciences, pharmaceutical industry, and other markets. It also provides cesium products for the chemical and pharmaceutical industries; zirconium, barium, and titanium products for pyrotechnical applications; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. The Bromine Specialties segment offers bromine and bromine-based fire safety solutions; specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals for use in chemical synthesis, oil and gas well drilling and completion fluids, mercury control, water purification, beef and poultry processing, and other industrial applications; and other specialty chemicals, such as tertiary amines, biocides, disinfectants, and sanitizers. The Catalysts segment provides hydroprocessing, isomerization, and akylation catalysts; fluidized catalytic cracking catalysts and additives; and organometallics and curatives. The company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, crop protection, and custom chemistry services markets. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina.",Charlotte,980-299-5700,NC,United States,[],http://www.albemarle.com,1,4250 Congress Street,Specialty Chemicals,168.17,169.51,135.82593,0.009157401,0.4375,,169.99,,1305750,,168.17,151.62788,1.54,169.51,,1305750,,,,1.56,1615420800,1.527854,,,165.47,2,USD,47.15625,652054,,,,19374020608,,,1880998,6.1919413,165.47,0.0,,800,652054,188.35,33.198,,1.5,55.75,0.0,False,0.0093,800,169.99,NYQ,Albemarle Corporation,Albemarle Corporation,America/New_York,EDT,True,-14400000,EQUITY,ALB,finmb_18671,us_market,,7.28,,0.12009,29.136,,,5.0,,116718000,,,39.949,2153918,0.0185,,1609372800,0.79740995,375764000,3.52,,,4.155048,0.00348,1672444800,1609372800,2.1,1615766400,116147248,22778841088,,1172793600,2:1,,,,-0.064,1618444800,1.7,,0.0207,2771272,,,,169.51,https://logo.clearbit.com/albemarle.com,Suite 900,980-299-5512,,,,e3252e1a-8c33-330a-a3fa-c99574706989
91101,Real Estate,470.0,"Alexandria Real Estate Equities, Inc. (NYSE:ARE), an S&P 500<sup>Â®</sup> urban office real estate investment trust (""REIT""), is the first, longest-tenured, and pioneering owner, operator, and developer uniquely focused on collaborative life science, technology, and agtech campuses in AAA innovation cluster locations, with a total market capitalization of $31.9 billion as of December 31, 2020, and an asset base in North America of 49.7 million square feet (""SF""). The asset base in North America includes 31.9 million RSF of operating properties and 3.3 million RSF of Class A properties undergoing construction, 7.1 million RSF of near-term and intermediate-term development and redevelopment projects, and 7.4 million SF of future development projects. Founded in 1994, Alexandria pioneered this niche and has since established a significant market presence in key locations, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland, and Research Triangle. Alexandria has a longstanding and proven track record of developing Class A properties clustered in urban life science, technology, and agtech campuses that provide our innovative tenants with highly dynamic and collaborative environments that enhance their ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science, technology, and agtech companies through our venture capital platform. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value.",Pasadena,626-578-0777,CA,United States,[],http://www.are.com,1,26 North Euclid Avenue,REIT—Office,181.1,180.85,165.49185,0.023743788,0.72760004,,181.3,,946800,,181.1,164.91818,4.3,180.85,,946800,,,,4.36,1617062400,0.716492,,,179.68,2,USD,31.362846,781608,,,,26544642048,,,1028781,13.626529,179.68,180.02,,800,781608,181.3,57.864956,,2.73,136.52,0.0,False,0.0241,800,181.3,NYQ,Alexandria Real Estate Equities,"Alexandria Real Estate Equities, Inc.",America/New_York,EDT,True,-14400000,EQUITY,ARE,finmb_365138,us_market,,19.008,,0.39029998,30.345,,,3.11,,147503008,,,89.186,1695602,0.0115,,1609372800,0.94144994,750057984,5.738,,,2.0178056,0.01126,1672444800,1617148800,2.11,1615766400,145699323,37027819520,,1145836800,1:1,,,,-0.567,1618444800,724.1,,0.0135,8510109,,,,180.85,https://logo.clearbit.com/are.com,,626-578-0896,,,,6cf38975-7399-33d8-9ef3-269f8d1f7e81
02210,Healthcare,3837.0,"Alexion Pharmaceuticals, Inc. develops and commercializes various therapeutic products. The company offers ULTOMIRIS for the treatment of paroxysmal nocturnal hemoglobinuria (PNH) and atypical hemolytic uremic syndrome (aHUS); and SOLIRIS for the treatment of PNH, aHUS, generalized myasthenia gravis (gMG), and neuromyelitis optica spectrum disorder (NMOSD). It also provides Strensiq for patients with hypophosphatasia; Kanuma (sebelipase alfa) for the treatment of patients with lysosomal acid lipase deficiency; and Andexxa, a reversal agent for patients treated with rivaroxaban or apixaban. In addition, the company is developing ALXN1210 (Intravenous) that is in Phase III clinical trials for the treatment of gMG, NMOSD, ALS, COVID-19, and HSCT-TMA; ALXN1210 (Subcutaneous), which is in Phase III clinical trials for PNH and aHUS; ALXN1820 that is in Phase I clinical trial, a therapeutic antagonist of properdin; and ALXN1720, which is in Phase I clinical trial for the treatment of disease states involving dysregulated terminal complement activity. Further, it is developing ALXN1840 that is in Phase III clinical trials for the treatment of Wilson disease; ALXN1830, which are in Phase I clinical trials for neonatal Fc receptor; ALXN2040 and ALXN2050 to treat diseases associated with dysregulation of the complement alternative pathway; ALXN1850, an enzyme replacement therapy; ALXN2060 for treating transthyretin amyloidosis; and ALXN2075 for treatment of relapsed/refractory chronic lymphocytic leukemia. The company serves distributors, pharmacies, hospital, hospital buying groups, and other healthcare providers in the United States and internationally. Alexion Pharmaceuticals, Inc. has collaboration and license agreement with Halozyme Therapeutics, Inc.; and agreements with Dicerna Pharmaceuticals, Inc., Zealand Pharma A/S, Caelum Biosciences, Inc., Stealth BioTherapeutics Corp., and Affibody AB. The company was founded in 1992 and is headquartered in Boston, Massachusetts.",Boston,475 230 2596,MA,United States,[],http://www.alexion.com,1,121 Seaport Boulevard,Biotechnology,168.68,168.51,139.49808,,0.0,,170.29,,1871900,,168.68,152.9291,,168.51,,1871900,,,,,,1.27027,,,168.51,2,USD,55.264523,2510593,,,,37614854144,,,2748508,6.007227,168.51,0.0,,1100,2510593,170.29,12.179543,,,94.0,0.0,False,,800,170.29,NMS,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc.",America/New_York,EDT,True,-14400000,EQUITY,ALXN,finmb_347983,us_market,,5.862,,0.10889,11.249,,,13.98,,220912992,,,56.21,8942140,0.0405,,1609372800,0.90369004,681800000,3.081,,,3.0291765,0.0039,1672444800,1617148800,4.35,1615766400,220132943,36707622912,,1306108800,2:1,,,,0.141,1618444800,1.5,,0.0423,7796784,,,,168.51,https://logo.clearbit.com/alexion.com,,203 271 8198,,,,6f717d54-9576-39b0-9102-beae1b53259f
85281,Healthcare,18070.0,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of seven and ten years, which is a mixture of primary/baby and permanent teeth. This segment's non-comprehensive products comprise Invisalign moderate, lite and express packages, and Invisalign go; and non-case products include retention products, Invisalign training fees, and sales of ancillary products, such as cleaning material, and adjusting tools used by dental professionals during the course of treatment. The Scanners and Services segment offers iTero scanner, a single hardware platform with software options for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; and software for orthodontists for digital records storage, orthodontic diagnosis, and for the fabrication of printed models and retainers. This segment also provides computer-aided design and computer-aided manufacturing services; ancillary products, such as disposable sleeves for the wand; iTero model and dies; third party scanners and digital scans; Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; and TimeLapse technology, which allows doctors or practitioners to compare a patient's historic 3D scans to the present-day scan. The company sells its products in the United States, Switzerland, China, and internationally. Align Technology, Inc. was incorporated in 1997 and is headquartered in Tempe, Arizona.",Tempe,408 470 1000,AZ,United States,[],http://www.aligntech.com,1,410 North Scottsdale Road,Medical Devices,595.53,599.14,488.2609,,0.0,,610.12,,564150,,595.53,544.92816,,599.14,,564150,,,,,,1.695532,,,595.6,2,USD,104.07253,602702,,,,47463161856,,,642486,16.856318,595.6,0.0,,800,602702,634.46,47.7144,,,172.44,0.0,False,,4000,610.12,NMS,"Align Technology, Inc.","Align Technology, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ALGN,finmb_24568,us_market,,16.329,,0.1627,71.968,,,12.57,,79135600,,,42.957,1969583,0.0249,,1609372800,0.87297994,458132992,5.763,,,13.962102,0.06757,1672444800,1617148800,3.2,1615766400,72885400,45979017216,,,,,,,-0.868,1618444800,2.21,,0.0251,1644535,,,,599.14,https://logo.clearbit.com/aligntech.com,Suite 1300,408 470 1010,,,,9e9b4176-3211-32f0-9c92-47cd8723fc54
D02 VH94,Industrials,11500.0,"Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door closers and controls; doors and door systems; electronic security products; electronic, biometric, and mobile access control systems; exit devices; locks, locksets, portable locks, and key systems; time, attendance, and workforce productivity systems; and other accessories. The company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, on-line and e-commerce platforms, and small specialty showroom outlets. Allegion plc was incorporated in 2013 and is headquartered in Dublin, Ireland.",Dublin,353 1 254 6200,,Ireland,[],http://www.allegion.com,1,Iveagh Court,Security & Protection Services,134.38,135.81,111.21881,0.00982289,0.2891,,137.13,,679950,,134.38,116.36243,1.32,135.81,,679950,,,,1.44,1623715200,1.192498,,,135.175,2,USD,29.768105,978341,,,,12243319808,,,751041,4.4691806,135.175,135.94,,800,978341,137.13,23.913885,,0.89,89.83,0.0,False,0.0107,800,137.13,NYQ,Allegion plc,Allegion plc,America/New_York,EDT,True,-14400000,EQUITY,ALLE,finmb_241782379,us_market,,4.827,,0.15401,20.35,,,5.69,,89978096,,,8.081,1549684,0.0172,,1609372800,0.96867996,421900000,4.571,,,16.838263,0.00858,1672444800,1617148800,2.07,1615766400,89524607,13223456768,,,,,,,269,1618444800,3.51,,0.0194,2185722,,,,135.81,https://logo.clearbit.com/allegion.com,Block D Harcourt Road,,,,,651202e1-5361-33dd-843b-6f94718a33c3
53718,Utilities,3375.0,"Alliant Energy Corporation operates as a utility holding company that provides regulated electricity and natural gas services in the Midwest region of the United States. It operates in three segments: Utility Electric Operations, Utility Gas Operations, and Utility Other. The company, through its subsidiary, Interstate Power and Light Company (IPL), primarily generates and distributes electricity, and distributes and transports natural gas to retail customers in Iowa; sells electricity to wholesale customers in Minnesota, Illinois, and Iowa; and generates and distributes steam in Cedar Rapids, Iowa. Alliant Energy Corporation, through its other subsidiary, Wisconsin Power and Light Company (WPL), generates and distributes electricity, and distributes and transports natural gas to retail customers in Wisconsin; and sells electricity to wholesale customers in Wisconsin. As of December 31, 2020, IPL supplied electric and natural gas service to approximately 495,000 and 225,000 retail customers respectively; and WPL supplied electric and natural gas service to approximately 480,000 and 195,000 retail customers, respectively. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, and packaging and food industries. In addition, the company owns and operates a short-line rail freight service in Iowa; a barge, rail, and truck freight terminal on the Mississippi River; and a rail-served warehouse in Cedar Rapids, Iowa, as well as offers freight brokerage and logistics management services. Further, it holds interests in a 347 megawatt (MW) natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a 225 MW wind farm located in Oklahoma. The company was incorporated in 1981 and is headquartered in Madison, Wisconsin.",Madison,608 458 3311,WI,United States,[],http://www.alliantenergy.com,1,4902 N. Biltmore Lane,Utilities—Regulated Electric,56.17,56.08,51.749184,0.02706071,0.6154,,56.73,,1116875,,56.17,50.30606,1.52,56.08,,1116875,,,,1.61,1619654400,0.335355,,,55.95,2,USD,22.74089,1327206,,,,14049801216,,,1471073,4.1129394,55.95,0.0,,1200,1327206,58.1,20.5,,2.96,44.36,0.0,False,0.0287,1800,56.73,NMS,Alliant Energy Corporation,Alliant Energy Corporation,America/New_York,EDT,True,-14400000,EQUITY,LNT,finmb_312949,us_market,,6.254,,0.17974001,16.05,,,2.74,,250130000,,,22.764,3984737,0.0159,,1609372800,0.75641996,614000000,2.47,,,2.4674923,0.00101,1672444800,1609372800,2.47,1615766400,249423768,21362819072,,1463702400,2:1,,,,-0.423,1618444800,3.99,,0.018099999,3598793,,,,56.08,https://logo.clearbit.com/alliantenergy.com,,,,,,56489bcf-a2c2-383d-9b45-66695ab9698e
60062-6127,Financial Services,41860.0,"The Allstate Corporation, through its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. The company operates through Allstate Protection, Protection Services, Allstate Life, and Allstate Benefits segments. The Allstate Protection segment offers private passenger auto and homeowners insurance; specialty auto products, including motorcycle, trailer, motor home, and off-road vehicle insurance; other personal lines products, such as renter, condominium, landlord, boat, umbrella, and manufactured home and stand-alone scheduled personal property; and commercial lines products under the Allstate and Encompass brand names. The Protection Services segment provides consumer product protection plans and related technical support for mobile phones, consumer electronics, furniture, and appliances; finance and insurance products, including vehicle service contracts, guaranteed asset protection waivers, road hazard tire and wheel, and paintless dent repair protection; roadside assistance; device and mobile data collection services; data and analytic solutions using automotive telematics information; and identity protection services. This segment offers its products under various brands including Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside Services, Arity, and Allstate Identity Protection. The Allstate Life Segment offers traditional, interest-sensitive, and variable life insurance products, as well as non-proprietary products offered by third-party providers. Its Allstate Benefits segment provides life, accident, critical illness, short-term disability, and other health insurance products. The company sells its products through call centers, agencies, financial specialists, brokers, wholesale partners, and affinity groups, as well as through online and mobile applications. The Allstate Corporation was founded in 1931 and is based in Northbrook, Illinois.",Northbrook,847-402-5000,IL,United States,[],http://www.allstate.com,1,2775 Sanders Road,Insurance—Property & Casualty,126.8,127.54,103.37504,0.0170347,0.1248,,129.09,,2146075,,126.8,111.66637,2.16,127.54,,2146075,,,,3.24,1614729600,0.832322,,,127.23,2,USD,7.40208,1351297,,,,38482825216,,,2116183,0.85916424,127.23,0.0,,1100,1351297,129.09,10.3247385,,1.85,84.97,0.0,False,0.0256,1200,129.09,NYQ,Allstate Corporation (The),The Allstate Corporation,America/New_York,EDT,True,-14400000,EQUITY,ALL,finmb_18711,us_market,,0.905,,0.12449,4.402,,,12.41,,300342016,,,92.918,4578800,0.0152,,1609372800,0.79236,5461000192,17.31,,,1.3789579,0.00441,1672444800,1609372800,1.97,1615766400,301228823,40533352448,,899337600,2:1,,,,0.48,1618444800,-24.72,,0.0153,4423675,,,,127.54,https://logo.clearbit.com/allstate.com,,,,,,5fb1f955-b45e-38e3-9789-286a1790398d
94043,Communication Services,139995.0,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. The company offers performance and brand advertising services. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, such as ads, Android, Chrome, hardware, Google Maps, Google Play, Search, and YouTube, as well as technical infrastructure; and digital content. The Google Cloud segment offers infrastructure and data analytics platforms, collaboration tools, and other services for enterprise customers. The Other Bets segment sells internet and TV services, as well as licensing and research and development services. The company was founded in 1998 and is headquartered in Mountain View, California.",Mountain View,650-253-0000,CA,United States,[],http://www.abc.xyz,1,1600 Amphitheatre Parkway,Internet Content & Information,2353.5,2364.91,1801.6003,,0.0,,2381.55,,1703175,,2353.5,2057.16,,2364.91,,1703175,,,,,,0.995587,,,2335.5,2,USD,31.224415,1412139,,,,1588486471680,,,1839788,8.07642,2335.5,0.0,,900,1412139,2381.55,24.640657,,,1177.25,0.0,False,,800,2381.55,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EDT,True,-14400000,EQUITY,GOOGL,finmb_29096,us_market,,7.476,,0.26115,23.339,,,95.09,,300747008,,,342.743,4171095,0.0062,,1609372800,0.81197,51363000320,75.04,,,6.8362594,0.0013799999,1672444800,1617148800,2.69,1615766400,605620318,1470373429248,,1396483200,1998:1000,,,,1.623,1618444800,1.25,,0.0139,3111317,,,,2364.91,https://logo.clearbit.com/abc.xyz,,,,,,e15ce71f-f533-3912-9f11-a46c09e2412b
